time,gc_time,mark_time,sweep_time,ncollections,nfull_sweeps,file,threads,gcthreads,version
5671078749,927574141,912347813,15206608,0,0,TimeZones.jl,1,0,1.9.4
5699953386,937362531,921686041,15657810,0,0,TimeZones.jl,1,0,1.9.4
5666001944,929134982,914031134,15084768,0,0,TimeZones.jl,1,0,1.9.4
5693582977,937415926,921700116,15695530,0,0,TimeZones.jl,1,0,1.9.4
5667824243,927576934,912500886,15057768,0,0,TimeZones.jl,1,0,1.9.4
5688651017,937357602,921705672,15633450,0,0,TimeZones.jl,1,0,1.9.4
5663864045,926859127,911821040,15019167,0,0,TimeZones.jl,1,0,1.9.4
6026259097,937418638,922663792,14735126,0,0,TimeZones.jl,1,0,1.9.4
5695697603,936411753,920680624,15712369,0,0,TimeZones.jl,1,0,1.9.4
6003023800,927664204,912321356,15322448,0,0,TimeZones.jl,1,0,1.9.4
5692240769,936674149,921039061,15614128,0,0,TimeZones.jl,1,0,1.9.4
5662501744,927735960,912663433,15055127,0,0,TimeZones.jl,1,0,1.9.4
5693110390,936691146,922099581,14571285,0,0,TimeZones.jl,1,0,1.9.4
5665407973,926644674,911565546,15060848,0,0,TimeZones.jl,1,0,1.9.4
5667317369,928384037,913116430,15248247,0,0,TimeZones.jl,1,0,1.9.4
5692224319,939422270,923768861,15635448,0,0,TimeZones.jl,1,0,1.9.4
5666055107,927799032,912674185,15105127,0,0,TimeZones.jl,1,0,1.9.4
5686774642,935448175,919818685,15610129,0,0,TimeZones.jl,1,0,1.9.4
5983573386,918812779,903818291,14975768,0,0,TimeZones.jl,1,0,1.9.4
5662282172,927426164,912311996,15094528,0,0,TimeZones.jl,1,0,1.9.4
3099409694,614127390,477807938,136230932,0,6,append.jl,1,0,1.9.4
3128258436,601143213,486508145,114560627,0,5,append.jl,1,0,1.9.4
3068374608,586176263,475249830,110860473,0,5,append.jl,1,0,1.9.4
3121529952,599812951,486089900,113654811,0,5,append.jl,1,0,1.9.4
3067402658,585307849,474940949,110297900,0,5,append.jl,1,0,1.9.4
3110668079,599418017,485476536,113867081,0,5,append.jl,1,0,1.9.4
3072174600,583670785,473450856,110148649,0,5,append.jl,1,0,1.9.4
3119538651,596790704,483756842,112963382,0,5,append.jl,1,0,1.9.4
3068263795,581038076,471311124,109660552,0,5,append.jl,1,0,1.9.4
3130411883,606843498,491638985,115133953,0,5,append.jl,1,0,1.9.4
3067724103,581568156,472125650,109376945,0,5,append.jl,1,0,1.9.4
3124960951,598215779,484904287,113242411,0,5,append.jl,1,0,1.9.4
3074493192,584952495,473972146,110915709,0,5,append.jl,1,0,1.9.4
3134179216,604922105,490579777,114273928,0,5,append.jl,1,0,1.9.4
3070560603,580443092,470796765,109580687,0,5,append.jl,1,0,1.9.4
3116883161,596964519,483803526,113090713,0,5,append.jl,1,0,1.9.4
3065421728,581273813,471327692,109879201,0,5,append.jl,1,0,1.9.4
3128699775,597881880,483677494,114128426,0,5,append.jl,1,0,1.9.4
3072995036,584032471,473889795,110074836,0,5,append.jl,1,0,1.9.4
3125512759,597764674,482904168,114787585,0,5,append.jl,1,0,1.9.4
3721305015,2746747131,2438055854,308622116,0,2,many_refs.jl,1,0,1.9.4
3727789316,2731990431,2426116868,305825043,0,2,many_refs.jl,1,0,1.9.4
3570291962,2687230793,2382527731,304664702,0,2,many_refs.jl,1,0,1.9.4
3742325658,2743840828,2437823768,305973580,0,2,many_refs.jl,1,0,1.9.4
3718872782,2734628296,2429851096,304727920,0,2,many_refs.jl,1,0,1.9.4
3730038322,2730994965,2424532244,306414080,0,2,many_refs.jl,1,0,1.9.4
3668864458,2680806820,2375963202,304800258,0,2,many_refs.jl,1,0,1.9.4
3727082663,2734350866,2428267332,306037454,0,2,many_refs.jl,1,0,1.9.4
3713985872,2731173743,2426565070,304559992,0,2,many_refs.jl,1,0,1.9.4
3728034358,2733254620,2427157867,306048873,0,2,many_refs.jl,1,0,1.9.4
3712047191,2725749228,2421058577,304641770,0,2,many_refs.jl,1,0,1.9.4
3726013917,2730544164,2424505594,305987450,0,2,many_refs.jl,1,0,1.9.4
3705267280,2727214365,2422057814,305108871,0,2,many_refs.jl,1,0,1.9.4
3747932210,2744813233,2435457101,309311732,0,2,many_refs.jl,1,0,1.9.4
3731472563,2741543794,2434245327,307251586,0,2,many_refs.jl,1,0,1.9.4
3717233298,2728479772,2423189249,305243763,0,2,many_refs.jl,1,0,1.9.4
3730414223,2733164832,2426550430,306572922,0,2,many_refs.jl,1,0,1.9.4
3718868578,2741099433,2436368415,304689738,0,2,many_refs.jl,1,0,1.9.4
3685916670,2688089141,2381738081,306295860,0,2,many_refs.jl,1,0,1.9.4
3723378045,2729841978,2424772297,305023641,0,2,many_refs.jl,1,0,1.9.4
1604637506,988836279,955249211,33543868,0,2,single_ref.jl,1,0,1.9.4
1591335425,985742199,952898178,32803301,0,2,single_ref.jl,1,0,1.9.4
1624103897,998358945,964232557,34079348,0,2,single_ref.jl,1,0,1.9.4
1601066710,990491673,957251369,33194544,0,2,single_ref.jl,1,0,1.9.4
1612993479,992718830,959090844,33581146,0,2,single_ref.jl,1,0,1.9.4
1598622512,992294808,959057745,33195703,0,2,single_ref.jl,1,0,1.9.4
1609815477,991700025,958115520,33542984,0,2,single_ref.jl,1,0,1.9.4
1597351404,992025289,958934147,33051302,0,2,single_ref.jl,1,0,1.9.4
1635017464,1004876115,970378965,34450790,0,2,single_ref.jl,1,0,1.9.4
1650831176,1008283478,973469249,34764349,0,2,single_ref.jl,1,0,1.9.4
1613330419,996644822,962599238,34002864,0,2,single_ref.jl,1,0,1.9.4
1641719535,1007829876,972623484,35154512,0,2,single_ref.jl,1,0,1.9.4
1621321330,999957168,966077424,33835864,0,2,single_ref.jl,1,0,1.9.4
1637233205,1006407910,971803165,34556745,0,2,single_ref.jl,1,0,1.9.4
1617223524,998818764,964963620,33806703,0,2,single_ref.jl,1,0,1.9.4
1634824688,1004348739,969868076,34432823,0,2,single_ref.jl,1,0,1.9.4
1626348805,999143448,965259268,33836859,0,2,single_ref.jl,1,0,1.9.4
1632663896,1004193182,969937240,34208942,0,2,single_ref.jl,1,0,1.9.4
1617232847,999931018,966025999,33861458,0,2,single_ref.jl,1,0,1.9.4
1633520643,1003323463,968816921,34461102,0,2,single_ref.jl,1,0,1.9.4
1345071035,285056830,34561423,39295012,0,0,pollard.jl,1,0,1.9.4
1414500377,352058134,31780284,42040909,0,0,pollard.jl,1,0,1.9.4
1382716708,350127797,30852197,42250270,0,0,pollard.jl,1,0,1.9.4
1423349983,356384949,31637721,42333190,0,0,pollard.jl,1,0,1.9.4
1401549581,351056670,30880156,41789305,0,0,pollard.jl,1,0,1.9.4
1372706134,350832341,31238758,42313988,0,0,pollard.jl,1,0,1.9.4
1362448086,351487262,30720154,41855426,0,0,pollard.jl,1,0,1.9.4
1314952446,349622562,30020708,43085071,0,0,pollard.jl,1,0,1.9.4
1357547572,350381201,30975834,41284780,0,0,pollard.jl,1,0,1.9.4
1354788533,355873871,31629199,42554187,0,0,pollard.jl,1,0,1.9.4
1379269383,351948961,30703752,41556301,0,0,pollard.jl,1,0,1.9.4
1371280991,352798080,31412756,42170423,0,0,pollard.jl,1,0,1.9.4
1359463416,351703229,30744912,41472378,0,0,pollard.jl,1,0,1.9.4
1367420964,354983883,31537556,42031140,0,0,pollard.jl,1,0,1.9.4
1342713028,349070479,30841471,41533055,0,0,pollard.jl,1,0,1.9.4
1389967659,349665718,31322833,42410462,0,0,pollard.jl,1,0,1.9.4
1362093746,356387474,30659590,41588494,0,0,pollard.jl,1,0,1.9.4
1351214298,350118111,31523316,42167459,0,0,pollard.jl,1,0,1.9.4
1363953595,349483342,30620748,41458496,0,0,pollard.jl,1,0,1.9.4
1427485922,354140484,31405832,42249059,0,0,pollard.jl,1,0,1.9.4
9705541185,6872942137,6027251442,845623415,0,2,list.jl,1,0,1.9.4
10024895263,7180486052,6322214968,858218323,0,2,list.jl,1,0,1.9.4
9688316606,6905296153,6051074979,854173494,0,2,list.jl,1,0,1.9.4
9799625809,7001930734,6142702935,859177759,0,2,list.jl,1,0,1.9.4
9790373664,6958687050,6105891169,852748481,0,2,list.jl,1,0,1.9.4
9729359191,6896162744,6037529114,858581190,0,2,list.jl,1,0,1.9.4
9773549381,6991190125,6137310121,853832244,0,2,list.jl,1,0,1.9.4
9717815605,6888497132,6029343978,859108114,0,2,list.jl,1,0,1.9.4
10009780896,7178052295,6324718616,853280919,0,2,list.jl,1,0,1.9.4
9804396327,7005832603,6146919168,858869835,0,2,list.jl,1,0,1.9.4
9785636553,6960532326,6107535881,852944765,0,2,list.jl,1,0,1.9.4
9817403831,7016291894,6156626970,859609603,0,2,list.jl,1,0,1.9.4
9689437999,6876803558,6023532263,853221095,0,2,list.jl,1,0,1.9.4
9824700303,7015456876,6155332898,860072698,0,2,list.jl,1,0,1.9.4
9825964796,7015933356,6152052833,863827083,0,2,list.jl,1,0,1.9.4
9698329966,6877231016,6023700384,853483472,0,2,list.jl,1,0,1.9.4
10044454164,7186631685,6327466296,859113069,0,2,list.jl,1,0,1.9.4
9784545047,6999095862,6144703889,854344933,0,2,list.jl,1,0,1.9.4
9722314844,6891762562,6038172823,853538218,0,2,list.jl,1,0,1.9.4
9800280429,7013493515,6158967440,854472634,0,2,list.jl,1,0,1.9.4
12954511943,1394304403,1359305742,34980181,0,0,tree.jl,1,0,1.9.4
12754860249,1346494380,1311704321,34770619,0,0,tree.jl,1,0,1.9.4
13162415286,1404328220,1369197080,35111900,0,0,tree.jl,1,0,1.9.4
12738718450,1353178745,1318339289,34819496,0,0,tree.jl,1,0,1.9.4
13185886923,1398430799,1363360382,35050497,0,0,tree.jl,1,0,1.9.4
12806552609,1355772534,1320955920,34795534,0,0,tree.jl,1,0,1.9.4
13149418879,1390406096,1355290921,35094615,0,0,tree.jl,1,0,1.9.4
12714404269,1356504319,1321893308,34594051,0,0,tree.jl,1,0,1.9.4
15008916010,1467652131,1431878956,35754855,0,0,tree.jl,1,0,1.9.4
14169357975,1381864899,1346552648,35287931,0,0,tree.jl,1,0,1.9.4
14257608777,1426986387,1391664977,35300330,0,0,tree.jl,1,0,1.9.4
14397265311,1385542061,1350343173,35177768,0,0,tree.jl,1,0,1.9.4
14534772117,1431520792,1395983743,35515049,0,0,tree.jl,1,0,1.9.4
13737779895,1377976773,1342907928,35047085,0,0,tree.jl,1,0,1.9.4
14542077153,1425723114,1390226908,35474006,0,0,tree.jl,1,0,1.9.4
14041371783,1375450678,1340181554,35250764,0,0,tree.jl,1,0,1.9.4
14910630580,1432441620,1396853975,35565525,0,0,tree.jl,1,0,1.9.4
14112791485,1384387197,1349208155,35158522,0,0,tree.jl,1,0,1.9.4
14738266305,1432891621,1397601539,35268362,0,0,tree.jl,1,0,1.9.4
14499978181,1389640504,1354268343,35350200,0,0,tree.jl,1,0,1.9.4
31511970716,7382731181,6887046594,495592147,0,3,strings.jl,1,0,1.9.4
28149987740,5980526251,5550664979,429807952,0,2,strings.jl,1,0,1.9.4
29659040639,6163366836,5726900071,436409405,0,2,strings.jl,1,0,1.9.4
28499954678,5984218758,5554064242,430097796,0,2,strings.jl,1,0,1.9.4
29182079010,6113762769,5679467369,434238480,0,2,strings.jl,1,0,1.9.4
28382890325,5932893132,5503601049,429233603,0,2,strings.jl,1,0,1.9.4
29480698222,6560519632,6095217492,465244940,0,2,strings.jl,1,0,1.9.4
27992989433,5945529947,5516384255,429077652,0,2,strings.jl,1,0,1.9.4
28419245829,6159247627,5725695129,433498978,0,2,strings.jl,1,0,1.9.4
27531784261,5941353309,5515017373,426279575,0,2,strings.jl,1,0,1.9.4
28876950339,6161200421,5725249776,435895204,0,2,strings.jl,1,0,1.9.4
31527560429,6666608534,6198829370,467723604,0,2,strings.jl,1,0,1.9.4
32504389787,6419252389,5971462959,447726390,0,2,strings.jl,1,0,1.9.4
31826884950,6270130343,5827899345,442168638,0,2,strings.jl,1,0,1.9.4
31996280420,6227274627,5787294009,439928658,0,2,strings.jl,1,0,1.9.4
32817957538,6471749710,6022152065,449536324,0,2,strings.jl,1,0,1.9.4
31755757626,6249246408,5805717275,443471451,0,2,strings.jl,1,0,1.9.4
32882402258,6475360507,6026023721,449276346,0,2,strings.jl,1,0,1.9.4
31669628910,6222343473,5781452367,440833745,0,2,strings.jl,1,0,1.9.4
32645908910,6460497108,6011915338,448522930,0,2,strings.jl,1,0,1.9.4
